Table S2. Single node activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
====================================,,,
4,0.02,0,175
4,0.02,10,165
4,0.02,20,160
4,0.02,30,155
4,0.02,40,145
4,0.02,50,140
4,0.02,60,135
4,0.02,70,125
4,0.02,80,120
4,0.02,90,115
4,0.02,100,110
4,0.02,110,105
4,0.02,120,100
4,0.02,130,95
4,0.02,140,90
4,0.02,150,85
4,0.02,160,85
4,0.02,170,80
4,0.02,180,75
4,0.02,190,75
4,0.02,200,70
4,0.02,210,70
4,0.02,220,65
4,0.02,230,65
4,0.02,240,65
4,0.02,250,60
4,0.02,260,60
4,0.02,270,60
4,0.02,280,55
4,0.02,290,55
4,0.02,300,55
4,0.02,310,55
4,0.02,320,55
4,0.02,330,50
4,0.02,340,50
4,0.02,350,50
4,0.02,360,50
4,0.02,370,50
4,0.02,380,45
4,0.02,390,45
4,0.02,400,45
4,0.02,410,45
4,0.02,420,45
4,0.02,430,45
4,0.02,440,45
4,0.02,450,45
4,0.02,460,40
4,0.02,470,40
4,0.02,480,40
4,0.02,490,40
4,0.02,500,40
4,0.05,0,110
4,0.05,10,105
4,0.05,20,95
4,0.05,30,85
4,0.05,40,75
4,0.05,50,70
4,0.05,60,60
4,0.05,70,55
4,0.05,80,50
4,0.05,90,45
4,0.05,100,40
4,0.05,110,35
4,0.05,120,35
4,0.05,130,30
4,0.05,140,30
4,0.05,150,30
4,0.05,160,25
4,0.05,170,25
4,0.05,180,25
4,0.05,190,25
4,0.05,200,25
4,0.05,210,20
4,0.05,220,20
4,0.05,230,20
4,0.05,240,20
4,0.05,250,20
4,0.05,260,20
4,0.05,270,20
4,0.05,280,20
4,0.05,290,20
4,0.05,300,20
4,0.05,310,20
4,0.05,320,20
4,0.05,330,15
4,0.05,340,15
4,0.05,350,15
4,0.05,360,15
4,0.05,370,15
4,0.05,380,15
4,0.05,390,15
4,0.05,400,15
4,0.05,410,15
4,0.05,420,15
4,0.05,430,15
4,0.05,440,15
4,0.05,450,15
4,0.05,460,15
4,0.05,470,15
4,0.05,480,15
4,0.05,490,15
4,0.05,500,15
4,0.1,0,80
4,0.1,10,70
4,0.1,20,60
4,0.1,30,50
4,0.1,40,40
4,0.1,50,30
4,0.1,60,25
4,0.1,70,25
4,0.1,80,20
4,0.1,90,20
4,0.1,100,15
4,0.1,110,15
4,0.1,120,15
4,0.1,130,15
4,0.1,140,15
4,0.1,150,10
4,0.1,160,10
4,0.1,170,10
4,0.1,180,10
4,0.1,190,10
4,0.1,200,10
4,0.1,210,10
4,0.1,220,10
4,0.1,230,10
4,0.1,240,10
4,0.1,250,10
4,0.1,260,10
4,0.1,270,10
4,0.1,280,10
4,0.1,290,10
4,0.1,300,10
4,0.1,310,10
4,0.1,320,10
4,0.1,330,10
4,0.1,340,10
4,0.1,350,10
4,0.1,360,10
4,0.1,370,10
4,0.1,380,10
4,0.1,390,10
4,0.1,400,10
4,0.1,410,10
4,0.1,420,10
4,0.1,430,10
4,0.1,440,10
4,0.1,450,10
4,0.1,460,10
4,0.1,470,10
4,0.1,480,10
4,0.1,490,10
4,0.1,500,10
4,0.2,0,60
4,0.2,10,50
4,0.2,20,35
4,0.2,30,25
4,0.2,40,15
4,0.2,50,15
4,0.2,60,10
4,0.2,70,10
4,0.2,80,10
4,0.2,90,10
4,0.2,100,10
4,0.2,110,5
4,0.2,120,5
4,0.2,130,5
4,0.2,140,5
4,0.2,150,5
4,0.2,160,5
4,0.2,170,5
4,0.2,180,5
4,0.2,190,5
4,0.2,200,5
4,0.2,210,5
4,0.2,220,5
4,0.2,230,5
4,0.2,240,5
4,0.2,250,5
4,0.2,260,5
4,0.2,270,5
4,0.2,280,5
4,0.2,290,5
4,0.2,300,5
4,0.2,310,5
4,0.2,320,5
4,0.2,330,5
4,0.2,340,5
4,0.2,350,5
4,0.2,360,5
4,0.2,370,5
4,0.2,380,5
4,0.2,390,5
4,0.2,400,5
4,0.2,410,5
4,0.2,420,5
4,0.2,430,5
4,0.2,440,5
4,0.2,450,5
4,0.2,460,5
4,0.2,470,5
4,0.2,480,5
4,0.2,490,5
4,0.2,500,5
4,0.5,0,50
4,0.5,10,35
4,0.5,20,20
4,0.5,30,10
4,0.5,40,5
4,0.5,50,5
4,0.5,60,5
4,0.5,70,5
4,0.5,80,5
4,0.5,90,5
4,0.5,100,5
4,0.5,110,5
4,0.5,120,5
4,0.5,130,5
4,0.5,140,5
4,0.5,150,5
4,0.5,160,5
4,0.5,170,5
4,0.5,180,5
4,0.5,190,5
4,0.5,200,5
4,0.5,210,5
4,0.5,220,5
4,0.5,230,5
4,0.5,240,5
4,0.5,250,5
4,0.5,260,5
4,0.5,270,5
4,0.5,280,5
4,0.5,290,5
4,0.5,300,5
4,0.5,310,5
4,0.5,320,5
4,0.5,330,5
4,0.5,340,5
4,0.5,350,5
4,0.5,360,5
4,0.5,370,5
4,0.5,380,5
4,0.5,390,5
4,0.5,400,5
4,0.5,410,5
4,0.5,420,5
4,0.5,430,5
4,0.5,440,5
4,0.5,450,5
4,0.5,460,5
4,0.5,470,5
4,0.5,480,5
4,0.5,490,5
4,0.5,500,5
4,1,0,45
4,1,10,30
4,1,20,10
4,1,30,5
4,1,40,5
4,1,50,5
4,1,60,5
4,1,70,5
4,1,80,5
4,1,90,5
4,1,100,5
4,1,110,5
4,1,120,5
4,1,130,5
4,1,140,5
4,1,150,5
4,1,160,5
4,1,170,5
4,1,180,5
4,1,190,5
4,1,200,5
4,1,210,5
4,1,220,5
4,1,230,5
4,1,240,5
4,1,250,5
4,1,260,5
4,1,270,5
4,1,280,5
4,1,290,5
4,1,300,5
4,1,310,5
4,1,320,5
4,1,330,5
4,1,340,5
4,1,350,5
4,1,360,5
4,1,370,5
4,1,380,5
4,1,390,5
4,1,400,5
4,1,410,5
4,1,420,5
4,1,430,5
4,1,440,5
4,1,450,5
4,1,460,5
4,1,470,5
4,1,480,5
4,1,490,5
4,1,500,5
4,2,0,45
4,2,10,30
4,2,20,10
4,2,30,5
4,2,40,5
4,2,50,5
4,2,60,5
4,2,70,5
4,2,80,5
4,2,90,5
4,2,100,5
4,2,110,5
4,2,120,5
4,2,130,5
4,2,140,5
4,2,150,5
4,2,160,5
4,2,170,5
4,2,180,5
4,2,190,5
4,2,200,5
4,2,210,5
4,2,220,5
4,2,230,5
4,2,240,5
4,2,250,5
4,2,260,5
4,2,270,5
4,2,280,5
4,2,290,5
4,2,300,5
4,2,310,5
4,2,320,5
4,2,330,5
4,2,340,5
4,2,350,5
4,2,360,5
4,2,370,5
4,2,380,5
4,2,390,5
4,2,400,5
4,2,410,5
4,2,420,5
4,2,430,5
4,2,440,5
4,2,450,5
4,2,460,5
4,2,470,5
4,2,480,5
4,2,490,5
4,2,500,5
4,5,0,45
4,5,10,30
4,5,20,10
4,5,30,5
4,5,40,5
4,5,50,5
4,5,60,5
4,5,70,5
4,5,80,5
4,5,90,5
4,5,100,5
4,5,110,5
4,5,120,5
4,5,130,5
4,5,140,5
4,5,150,5
4,5,160,5
4,5,170,5
4,5,180,5
4,5,190,5
4,5,200,5
4,5,210,5
4,5,220,5
4,5,230,5
4,5,240,5
4,5,250,5
4,5,260,5
4,5,270,5
4,5,280,5
4,5,290,5
4,5,300,5
4,5,310,5
4,5,320,5
4,5,330,5
4,5,340,5
4,5,350,5
4,5,360,5
4,5,370,5
4,5,380,5
4,5,390,5
4,5,400,5
4,5,410,5
4,5,420,5
4,5,430,5
4,5,440,5
4,5,450,5
4,5,460,5
4,5,470,5
4,5,480,5
4,5,490,5
4,5,500,5
4,10,0,45
4,10,10,30
4,10,20,10
4,10,30,5
4,10,40,5
4,10,50,5
4,10,60,5
4,10,70,5
4,10,80,5
4,10,90,5
4,10,100,5
4,10,110,5
4,10,120,5
4,10,130,5
4,10,140,5
4,10,150,5
4,10,160,5
4,10,170,5
4,10,180,5
4,10,190,5
4,10,200,5
4,10,210,5
4,10,220,5
4,10,230,5
4,10,240,5
4,10,250,5
4,10,260,5
4,10,270,5
4,10,280,5
4,10,290,5
4,10,300,5
4,10,310,5
4,10,320,5
4,10,330,5
4,10,340,5
4,10,350,5
4,10,360,5
4,10,370,5
4,10,380,5
4,10,390,5
4,10,400,5
4,10,410,5
4,10,420,5
4,10,430,5
4,10,440,5
4,10,450,5
4,10,460,5
4,10,470,5
4,10,480,5
4,10,490,5
4,10,500,5
6,0.02,0,175
6,0.02,10,170
6,0.02,20,165
6,0.02,30,160
6,0.02,40,155
6,0.02,50,150
6,0.02,60,140
6,0.02,70,135
6,0.02,80,130
6,0.02,90,125
6,0.02,100,120
6,0.02,110,115
6,0.02,120,110
6,0.02,130,105
6,0.02,140,100
6,0.02,150,95
6,0.02,160,95
6,0.02,170,90
6,0.02,180,90
6,0.02,190,85
6,0.02,200,85
6,0.02,210,80
6,0.02,220,80
6,0.02,230,75
6,0.02,240,75
6,0.02,250,75
6,0.02,260,70
6,0.02,270,70
6,0.02,280,70
6,0.02,290,65
6,0.02,300,65
6,0.02,310,65
6,0.02,320,65
6,0.02,330,60
6,0.02,340,60
6,0.02,350,60
6,0.02,360,60
6,0.02,370,60
6,0.02,380,55
6,0.02,390,55
6,0.02,400,55
6,0.02,410,55
6,0.02,420,55
6,0.02,430,55
6,0.02,440,50
6,0.02,450,50
6,0.02,460,50
6,0.02,470,50
6,0.02,480,50
6,0.02,490,50
6,0.02,500,50
6,0.05,0,110
6,0.05,10,105
6,0.05,20,95
6,0.05,30,90
6,0.05,40,80
6,0.05,50,75
6,0.05,60,65
6,0.05,70,60
6,0.05,80,55
6,0.05,90,50
6,0.05,100,45
6,0.05,110,45
6,0.05,120,40
6,0.05,130,40
6,0.05,140,35
6,0.05,150,35
6,0.05,160,35
6,0.05,170,30
6,0.05,180,30
6,0.05,190,30
6,0.05,200,30
6,0.05,210,25
6,0.05,220,25
6,0.05,230,25
6,0.05,240,25
6,0.05,250,25
6,0.05,260,25
6,0.05,270,25
6,0.05,280,25
6,0.05,290,20
6,0.05,300,20
6,0.05,310,20
6,0.05,320,20
6,0.05,330,20
6,0.05,340,20
6,0.05,350,20
6,0.05,360,20
6,0.05,370,20
6,0.05,380,20
6,0.05,390,20
6,0.05,400,20
6,0.05,410,20
6,0.05,420,20
6,0.05,430,20
6,0.05,440,20
6,0.05,450,20
6,0.05,460,20
6,0.05,470,20
6,0.05,480,20
6,0.05,490,20
6,0.05,500,20
6,0.1,0,80
6,0.1,10,70
6,0.1,20,60
6,0.1,30,50
6,0.1,40,45
6,0.1,50,35
6,0.1,60,30
6,0.1,70,25
6,0.1,80,25
6,0.1,90,20
6,0.1,100,20
6,0.1,110,20
6,0.1,120,15
6,0.1,130,15
6,0.1,140,15
6,0.1,150,15
6,0.1,160,15
6,0.1,170,15
6,0.1,180,15
6,0.1,190,15
6,0.1,200,15
6,0.1,210,10
6,0.1,220,10
6,0.1,230,10
6,0.1,240,10
6,0.1,250,10
6,0.1,260,10
6,0.1,270,10
6,0.1,280,10
6,0.1,290,10
6,0.1,300,10
6,0.1,310,10
6,0.1,320,10
6,0.1,330,10
6,0.1,340,10
6,0.1,350,10
6,0.1,360,10
6,0.1,370,10
6,0.1,380,10
6,0.1,390,10
6,0.1,400,10
6,0.1,410,10
6,0.1,420,10
6,0.1,430,10
6,0.1,440,10
6,0.1,450,10
6,0.1,460,10
6,0.1,470,10
6,0.1,480,10
6,0.1,490,10
6,0.1,500,10
6,0.2,0,60
6,0.2,10,50
6,0.2,20,40
6,0.2,30,30
6,0.2,40,20
6,0.2,50,15
6,0.2,60,15
6,0.2,70,10
6,0.2,80,10
6,0.2,90,10
6,0.2,100,10
6,0.2,110,10
6,0.2,120,10
6,0.2,130,10
6,0.2,140,10
6,0.2,150,10
6,0.2,160,10
6,0.2,170,5
6,0.2,180,5
6,0.2,190,5
6,0.2,200,5
6,0.2,210,5
6,0.2,220,5
6,0.2,230,5
6,0.2,240,5
6,0.2,250,5
6,0.2,260,5
6,0.2,270,5
6,0.2,280,5
6,0.2,290,5
6,0.2,300,5
6,0.2,310,5
6,0.2,320,5
6,0.2,330,5
6,0.2,340,5
6,0.2,350,5
6,0.2,360,5
6,0.2,370,5
6,0.2,380,5
6,0.2,390,5
6,0.2,400,5
6,0.2,410,5
6,0.2,420,5
6,0.2,430,5
6,0.2,440,5
6,0.2,450,5
6,0.2,460,5
6,0.2,470,5
6,0.2,480,5
6,0.2,490,5
6,0.2,500,5
6,0.5,0,50
6,0.5,10,35
6,0.5,20,20
6,0.5,30,10
6,0.5,40,10
6,0.5,50,5
6,0.5,60,5
6,0.5,70,5
6,0.5,80,5
6,0.5,90,5
6,0.5,100,5
6,0.5,110,5
6,0.5,120,5
6,0.5,130,5
6,0.5,140,5
6,0.5,150,5
6,0.5,160,5
6,0.5,170,5
6,0.5,180,5
6,0.5,190,5
6,0.5,200,5
6,0.5,210,5
6,0.5,220,5
6,0.5,230,5
6,0.5,240,5
6,0.5,250,5
6,0.5,260,5
6,0.5,270,5
6,0.5,280,5
6,0.5,290,5
6,0.5,300,5
6,0.5,310,5
6,0.5,320,5
6,0.5,330,5
6,0.5,340,5
6,0.5,350,5
6,0.5,360,5
6,0.5,370,5
6,0.5,380,5
6,0.5,390,5
6,0.5,400,5
6,0.5,410,5
6,0.5,420,5
6,0.5,430,5
6,0.5,440,5
6,0.5,450,5
6,0.5,460,5
6,0.5,470,5
6,0.5,480,5
6,0.5,490,5
6,0.5,500,5
6,1,0,45
6,1,10,30
6,1,20,15
6,1,30,10
6,1,40,5
6,1,50,5
6,1,60,5
6,1,70,5
6,1,80,5
6,1,90,5
6,1,100,5
6,1,110,5
6,1,120,5
6,1,130,5
6,1,140,5
6,1,150,5
6,1,160,5
6,1,170,5
6,1,180,5
6,1,190,5
6,1,200,5
6,1,210,5
6,1,220,5
6,1,230,5
6,1,240,5
6,1,250,5
6,1,260,5
6,1,270,5
6,1,280,5
6,1,290,5
6,1,300,5
6,1,310,5
6,1,320,5
6,1,330,5
6,1,340,5
6,1,350,5
6,1,360,5
6,1,370,5
6,1,380,5
6,1,390,5
6,1,400,5
6,1,410,5
6,1,420,5
6,1,430,5
6,1,440,5
6,1,450,5
6,1,460,5
6,1,470,5
6,1,480,5
6,1,490,5
6,1,500,5
6,2,0,45
6,2,10,30
6,2,20,15
6,2,30,5
6,2,40,5
6,2,50,5
6,2,60,5
6,2,70,5
6,2,80,5
6,2,90,5
6,2,100,5
6,2,110,5
6,2,120,5
6,2,130,5
6,2,140,5
6,2,150,5
6,2,160,5
6,2,170,5
6,2,180,5
6,2,190,5
6,2,200,5
6,2,210,5
6,2,220,5
6,2,230,5
6,2,240,5
6,2,250,5
6,2,260,5
6,2,270,5
