Table S1. Weights for nodal sum method.,,,,,,,,,,,
Diameter = 4.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.429296,0.173153,0.06712,0.025311,0.009354,0.003404,0.001224,0.000438,0.000162,0.000078
0.02,1,0.552178,0.284769,0.138905,0.064759,0.029095,0.01268,0.005394,0.002265,0.000984,0.000548
0.05,1,0.69883,0.473527,0.31094,0.197917,0.122254,0.073475,0.043242,0.025393,0.015731,0.011729
0.1,1,0.760961,0.570829,0.421848,0.307115,0.22052,0.156755,0.111349,0.080705,0.062137,0.053893
0.2,1,0.801656,0.639841,0.508755,0.403591,0.320387,0.255916,0.207604,0.173469,0.152079,0.142528
0.5,1,0.831453,0.693271,0.580634,0.489616,0.417042,0.360381,0.317657,0.287383,0.268506,0.260371
1,1,0.837508,0.704276,0.59567,0.507912,0.437949,0.383346,0.342203,0.313089,0.294991,0.287278
2,1,0.838388,0.705829,0.597734,0.510362,0.440686,0.386293,0.345301,0.316288,0.298251,0.290564
5,1,0.839502,0.707726,0.600169,0.513154,0.443705,0.389447,0.348527,0.319543,0.301506,0.293797
Diameter = 5.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.380459,0.134259,0.045247,0.014782,0.004722,0.001483,0.00046,0.000141,0.000045,0.000019
0.02,1,0.505916,0.23509,0.102115,0.042046,0.016586,0.006319,0.00234,0.000851,0.000317,0.000156
0.05,1,0.662758,0.422275,0.258474,0.152066,0.086117,0.047065,0.024956,0.013047,0.007133,0.004877
0.1,1,0.730021,0.523232,0.367742,0.253264,0.170959,0.113381,0.074459,0.049476,0.035021,0.028938
0.2,1,0.773058,0.593795,0.453173,0.34389,0.260068,0.197014,0.151048,0.119377,0.100013,0.091713
0.5,1,0.801758,0.643982,0.518966,0.420602,0.344081,0.285664,0.242496,0.212469,0.194116,0.186546
1,1,0.806731,0.65289,0.530978,0.435051,0.360432,0.303483,0.261426,0.232211,0.214412,0.207161
2,1,0.807388,0.654016,0.532433,0.436735,0.362273,0.305429,0.26344,0.234268,0.216495,0.209255
5,1,0.808353,0.655599,0.534393,0.438907,0.364547,0.307738,0.265746,0.236552,0.218751,0.211486
Diameter = 6.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.377252,0.131729,0.043884,0.014164,0.004469,0.001386,0.000424,0.000129,0.00004,0.000017
0.02,1,0.50307,0.232062,0.099932,0.040752,0.015909,0.005995,0.002195,0.000789,0.00029,0.000143
0.05,1,0.660015,0.418602,0.254918,0.149124,0.083922,0.045552,0.023974,0.012435,0.006751,0.004616
0.1,1,0.727132,0.519049,0.363267,0.249076,0.167342,0.110424,0.072129,0.047671,0.033608,0.02778
0.2,1,0.769764,0.588761,0.447423,0.338068,0.254545,0.191971,0.146536,0.115364,0.096414,0.088422
0.5,1,0.797521,0.637171,0.510722,0.411683,0.334971,0.276647,0.233719,0.203983,0.185915,0.178592
1,1,0.802034,0.645239,0.521581,0.424726,0.349712,0.292695,0.250754,0.221738,0.204162,0.197124
2,1,0.802574,0.646159,0.522767,0.426094,0.351203,0.294267,0.252378,0.223395,0.205838,0.19881
5,1,0.80337,0.647457,0.524363,0.427852,0.353034,0.296118,0.254218,0.225213,0.207631,0.200583
Diameter = 7.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.383647,0.136339,0.046243,0.015199,0.004884,0.001543,0.000481,0.000149,0.000047,0.000021
0.02,1,0.509455,0.238472,0.104335,0.043262,0.017182,0.006589,0.002456,0.000899,0.000338,0.000171
0.05,1,0.664589,0.425034,0.261365,0.154587,0.088061,0.048436,0.025865,0.013639,0.007551,0.005262
